;;;;;SWEDEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Units:;;;Kronor per US $;US dollars;Kronor;Kronor;Kronor;MISSING;Krona;%per annum;%per annum;index;index;index (based on local currency);Millions Dollars;Millions of dollars;Index (based on local currency);Index (based on local currency);local currency;Index;Index;% per year;%per year;Millions of Dollars;Dollars;Millions of dollars;DM/$;Dollars;;;;;;;;;;;;;;;;;;;;
Source:;;;IFS;IFS;IFS;IFS;IFS;MISSING;IFS;IFS;IFS;IFS;IFS;IFS;IFS;IFS;IFS;IFS;WEO;IFS;IFS;IFS;IFS;BIS;BIS;BIS;IFS;BIS;;;;;;;;;;;;;;;;;;;;
Code;;;AE..ZF;1L..DZF;14..ZF;25A..ZF;32..ZF;MISSING;35A..ZF;60L..ZF;60P..ZF;64..ZF;66C..ZF;62..ZF;71..ZF(converted into $);70..ZF(converted into $);76..ZF;76X..ZF;;11164..ZF;13464..ZF;11160B..ZF;13460B..ZF;Table 6A;Table 9A;Table 6A;134AE..ZF;Table 9A;;;;;;;;;;;;;;;;;;;;
;;;Exchange;;;;Domestic;;;Deposit;Lending;;;Stock;;;Export;Import;;;;;;Total;Claims Assets up;Total;;Claims;;;;;;;;;;;;;;;;;;;;
;BOP;BANK;Rate;Reserves;M0;Deposits;Credit;M1;M2;Rate;Rate;Prices;IP;Price;Imports;Exports;Prices;Prices;interpolated RGDP;US CPI;GERMAN CPI;US FED FUNDS RATE;GERMAN RATE;ASSETS;to one year;Liabilities;DM/$;Total Assets;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ene-70;0;0;5,18;519790000,00;11640000343,32;85220000000,00;102839000000,00;#N/D;95905000000,00;7,50;11,55;40,00;75,77;#N/D;586,16;456,31;16,59;16,32;861926436781,61;28,90;44,90;8,96;9,00;#N/D;#N/D;#N/D;3,69;#N/D;;;;;;;;;;;;;;;;;;;;
feb-70;0;0;5,21;480790000,00;11449999809,27;84569000000,00;102770000000,00;#N/D;95094000000,00;7,50;11,55;40,60;77,82;#N/D;543,73;509,88;16,69;16,22;866241379310,34;29,10;44,90;8,97;9,50;#N/D;#N/D;#N/D;3,69;#N/D;;;;;;;;;;;;;;;;;;;;
mar-70;0;0;5,20;428790000,00;11390000343,32;84650000000,00;101972000000,00;#N/D;94956000000,00;7,50;11,05;40,90;78,50;#N/D;560,70;528,94;17,00;16,32;870987816091,95;29,30;45,20;7,71;9,56;#N/D;#N/D;#N/D;3,66;#N/D;;;;;;;;;;;;;;;;;;;;
abr-70;0;0;5,21;421040000,00;11369999885,56;84324000000,00;103363000000,00;#N/D;94742000000,00;7,50;10,55;40,90;77,82;#N/D;632,05;562,66;17,10;16,32;875734252873,56;29,40;45,30;8,09;9,56;#N/D;#N/D;#N/D;3,64;#N/D;;;;;;;;;;;;;;;;;;;;
may-70;0;0;5,20;417090000,00;11359999656,68;82147000000,00;100459000000,00;#N/D;92533000000,00;7,50;10,55;41,10;80,55;#N/D;587,28;534,94;17,30;16,22;880264942528,74;29,60;45,30;7,86;9,56;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
jun-70;0;0;5,19;421090000,00;11520000457,76;83009000000,00;101715000000,00;#N/D;93436000000,00;7,50;10,55;41,30;77,82;#N/D;574,60;623,39;17,30;16,11;885011379310,34;29,70;45,50;7,54;9,56;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
jul-70;0;0;5,19;444090000,00;11199999809,27;82673000000,00;102338000000,00;#N/D;92936000000,00;7,50;10,55;41,60;80,55;#N/D;522,78;528,96;17,30;15,91;889973563218,39;29,80;45,50;7,13;9,53;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
ago-70;0;0;5,19;456090000,00;11310000419,62;82692000000,00;102146000000,00;#N/D;92996000000,00;7,50;10,55;41,70;79,18;#N/D;506,00;516,80;17,40;15,81;894504252873,56;29,90;45,50;6,62;9,17;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
sept-70;0;0;5,21;446230000,00;11300000190,73;82887000000,00;102692000000,00;#N/D;93180000000,00;7,50;9,89;41,90;77,82;#N/D;590,36;580,37;17,50;15,81;899250689655,17;30,00;45,50;6,26;9,25;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
oct-70;0;0;5,19;421230000,00;11630000114,44;83474000000,00;103943000000,00;#N/D;94137000000,00;7,50;9,89;42,10;79,18;#N/D;629,96;604,09;17,50;15,60;903997126436,78;30,20;45,70;6,18;9,34;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
nov-70;0;0;5,18;487230000,00;11689999580,38;84092000000,00;104402000000,00;#N/D;94769000000,00;7,50;9,39;42,40;79,87;#N/D;631,79;695,25;17,60;15,60;908527816091,95;30,30;45,80;5,59;8,88;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
dic-70;0;0;5,17;561230000,00;12560000419,62;87474000000,00;108873000000,00;#N/D;98876000000,00;7,50;9,39;42,60;80,55;#N/D;624,76;636,56;17,60;15,60;913490000000,00;30,40;46,10;4,85;8,22;#N/D;#N/D;#N/D;3,65;#N/D;;;;;;;;;;;;;;;;;;;;
ene-71;0;0;5,17;637010000,00;12100000381,47;91278000000,00;109107000000,00;#N/D;102349000000,00;7,50;11,55;43,90;80,62;#N/D;598,11;604,31;17,60;15,60;914184367816,09;30,50;46,70;4,29;7,50;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
feb-71;0;0;5,17;650010000,00;12029999732,97;90055000000,00;107892000000,00;#N/D;101093000000,00;7,50;11,55;44,00;78,93;#N/D;518,41;524,80;17,71;15,70;914845670498,08;30,50;47,00;3,66;7,41;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
mar-71;0;0;5,17;667010000,00;11710000038,15;91088000000,00;108780000000,00;#N/D;101677000000,00;7,00;11,05;44,10;78,08;#N/D;615,96;673,68;17,81;15,81;915606168582,38;30,60;47,30;3,71;7,40;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
abr-71;0;0;5,17;717000000,00;11970000267,03;90986000000,00;109335000000,00;#N/D;101901000000,00;6,50;10,55;44,00;78,93;#N/D;592,19;572,81;17,81;16,01;916333601532,57;30,70;47,60;4,16;6,27;#N/D;#N/D;#N/D;3,63;#N/D;;;;;;;;;;;;;;;;;;;;
may-71;0;0;5,17;732300000,00;11979999542,24;90495000000,00;108158000000,00;#N/D;101416000000,00;6,50;10,50;43,80;78,93;#N/D;530,97;597,39;17,91;16,22;917027969348,66;30,90;47,60;4,66;6,16;#N/D;#N/D;#N/D;3,55;#N/D;;;;;;;;;;;;;;;;;;;;
jun-71;0;0;5,17;765000000,00;12430000305,18;90659000000,00;108857000000,00;#N/D;101900000000,00;6,50;10,55;44,00;78,93;#N/D;615,90;731,64;17,91;16,22;917755402298,85;31,00;47,90;4,91;6,65;#N/D;#N/D;#N/D;3,50;#N/D;;;;;;;;;;;;;;;;;;;;
jul-71;0;0;5,17;795200000,00;12199999809,27;91792000000,00;110813000000,00;#N/D;102948000000,00;6,50;10,55;44,20;78,93;#N/D;529,97;527,25;17,91;16,32;918482835249,04;31,10;48,00;5,30;7,64;#N/D;#N/D;#N/D;3,46;#N/D;;;;;;;;;;;;;;;;;;;;
ago-71;0;0;5,09;798200000,00;12159999847,41;91446000000,00;110487000000,00;#N/D;102508000000,00;6,50;10,55;44,80;77,23;#N/D;518,27;545,53;17,81;16,32;919210268199,23;31,20;48,00;5,57;7,58;#N/D;#N/D;#N/D;3,40;#N/D;;;;;;;;;;;;;;;;;;;;
sept-71;0;0;5,04;798200000,00;12399999618,53;92735000000,00;111959000000,00;#N/D;104036000000,00;6,00;9,89;44,80;77,23;#N/D;612,08;655,80;17,71;16,22;919937701149,43;31,20;48,20;5,52;7,57;#N/D;#N/D;#N/D;3,32;#N/D;;;;;;;;;;;;;;;;;;;;
oct-71;0;0;5,03;798200000,00;12789999961,85;93023000000,00;113578000000,00;#N/D;104751000000,00;6,00;9,89;45,30;78,93;#N/D;660,75;689,46;17,81;16,11;920632068965,52;31,30;48,40;5,20;7,86;#N/D;#N/D;#N/D;3,34;#N/D;;;;;;;;;;;;;;;;;;;;
nov-71;0;0;4,97;807200000,00;13119999885,56;94879000000,00;115180000000,00;#N/D;106847000000,00;5,50;9,39;45,30;78,08;#N/D;645,68;712,48;17,71;16,42;921359501915,71;31,30;48,50;4,89;6,89;#N/D;#N/D;#N/D;3,31;#N/D;;;;;;;;;;;;;;;;;;;;
dic-71;0;0;4,87;892598760,00;14069999694,82;96123000000,00;117849000000,00;#N/D;108940000000,00;5,50;9,39;45,70;77,23;#N/D;683,27;685,33;17,71;16,42;922120000000,00;31,50;48,70;4,09;6,60;#N/D;#N/D;#N/D;3,27;#N/D;;;;;;;;;;;;;;;;;;;;
ene-72;0;0;4,81;956001470,00;13750000000,00;101581000000,00;121985000000,00;#N/D;114189000000,00;5,50;9,39;46,10;77,23;#N/D;645,30;659,87;17,40;16,56;923824230769,23;31,50;49,30;3,54;5,35;#N/D;#N/D;#N/D;3,21;#N/D;;;;;;;;;;;;;;;;;;;;
feb-72;0;0;4,79;1021001500,00;13430000305,18;100805000000,00;120522000000,00;#N/D;113105000000,00;5,50;9,39;46,20;78,08;#N/D;634,86;644,68;17,40;16,56;925528461538,46;31,60;49,50;3,29;5,06;#N/D;#N/D;#N/D;3,19;#N/D;;;;;;;;;;;;;;;;;;;;
mar-72;0;0;4,78;1117958000,00;13449999809,27;102826000000,00;121668000000,00;#N/D;115116000000,00;5,50;8,91;46,40;78,93;#N/D;701,23;703,12;17,40;16,56;927395000000,00;31,70;49,70;3,84;4,73;#N/D;#N/D;#N/D;3,17;#N/D;;;;;;;;;;;;;;;;;;;;
abr-72;0;0;4,78;1120545500,00;13630000114,44;103105000000,00;123286000000,00;#N/D;115629000000,00;5,50;8,94;46,60;78,93;#N/D;634,72;689,17;17,55;16,56;929018076923,08;31,80;49,90;4,17;4,80;#N/D;#N/D;#N/D;3,18;#N/D;;;;;;;;;;;;;;;;;;;;
may-72;0;0;4,73;1137534600,00;13189999580,38;102623000000,00;121633000000,00;#N/D;114608000000,00;5,50;8,94;46,80;78,93;#N/D;684,10;708,61;17,55;16,56;930884615384,62;31,90;50,00;4,26;4,60;#N/D;#N/D;#N/D;3,18;#N/D;;;;;;;;;;;;;;;;;;;;
jun-72;0;0;4,71;1176534600,00;13939999580,38;102651000000,00;123101000000,00;#N/D;115413000000,00;5,50;8,94;47,00;78,93;#N/D;677,90;781,99;17,55;16,42;932670000000,00;31,90;50,20;4,47;4,59;#N/D;#N/D;#N/D;3,16;#N/D;;;;;;;;;;;;;;;;;;;;
jul-72;0;0;4,73;1180534600,00;13449999809,27;104568000000,00;125820000000,00;#N/D;116865000000,00;5,50;8,94;47,30;79,77;#N/D;576,17;617,65;17,55;16,56;934374230769,23;32,10;50,50;4,52;4,64;#N/D;#N/D;#N/D;3,17;#N/D;;;;;;;;;;;;;;;;;;;;
ago-72;0;0;4,72;1183791700,00;13409999847,41;103386000000,00;124738000000,00;#N/D;115653000000,00;5,50;8,94;47,50;82,32;#N/D;641,96;703,55;17,70;16,56;936240769230,77;32,10;50,50;4,82;4,75;#N/D;#N/D;#N/D;3,19;#N/D;;;;;;;;;;;;;;;;;;;;
sept-72;0;0;4,74;1184791700,00;13670000076,29;104938000000,00;126272000000,00;#N/D;117484000000,00;5,50;8,93;47,70;82,32;#N/D;659,20;737,63;17,70;16,56;937945000000,00;32,20;51,10;4,82;5,27;#N/D;#N/D;#N/D;3,20;#N/D;;;;;;;;;;;;;;;;;;;;
oct-72;0;0;4,75;1198791700,00;13609999656,68;106156000000,00;127588000000,00;#N/D;118572000000,00;5,50;8,93;47,80;81,47;#N/D;810,95;826,33;17,85;16,85;939730384615,38;32,30;51,30;5,08;6,88;#N/D;#N/D;#N/D;3,20;#N/D;;;;;;;;;;;;;;;;;;;;
nov-72;0;0;4,74;1291863200,00;14350000381,47;106904000000,00;129577000000,00;#N/D;119965000000,00;5,50;8,93;47,80;82,32;#N/D;799,32;939,68;18,00;16,99;941515769230,77;32,40;51,50;5,05;7,95;#N/D;#N/D;#N/D;3,20;#N/D;;;;;;;;;;;;;;;;;;;;
dic-72;0;0;4,74;1357852300,00;15439999580,38;108872000000,00;132529000000,00;#N/D;123022000000,00;5,50;8,93;48,50;83,17;#N/D;663,18;777,44;18,15;17,14;943220000000,00;32,50;51,80;5,33;8,63;#N/D;#N/D;#N/D;3,20;#N/D;;;;;;;;;;;;;;;;;;;;
ene-73;0;0;4,71;1384476900,00;14489999771,12;114600000000,00;133123000000,00;#N/D;127847000000,00;5,50;8,93;48,70;82,32;#N/D;739,43;876,48;18,30;17,57;946518429118,77;32,60;52,30;5,95;7,88;#N/D;#N/D;#N/D;3,16;#N/D;;;;;;;;;;;;;;;;;;;;
feb-73;0;0;4,46;1657372200,00;14470000267,03;113652000000,00;131525000000,00;#N/D;126859000000,00;5,50;8,93;49,10;83,17;#N/D;763,88;873,81;18,61;17,86;949386628352,49;32,90;52,70;6,54;7,94;#N/D;#N/D;#N/D;2,84;#N/D;;;;;;;;;;;;;;;;;;;;
mar-73;0;0;4,49;1871372200,00;14449999809,27;115073000000,00;132964000000,00;#N/D;128318000000,00;5,50;8,96;49,30;84,02;#N/D;818,91;1037,65;18,91;18,29;952541647509,58;33,20;53,10;7,04;8,51;#N/D;#N/D;#N/D;2,84;#N/D;;;;;;;;;;;;;;;;;;;;
abr-73;0;0;4,53;1966947500,00;14670000076,29;115651000000,00;135405000000,00;#N/D;129076000000,00;5,50;8,96;49,60;84,87;#N/D;782,15;802,03;19,21;18,43;955553256704,98;33,40;53,40;7,12;10,91;#N/D;#N/D;#N/D;2,84;#N/D;;;;;;;;;;;;;;;;;;;;
may-73;0;0;4,33;2037044000,00;14500000000,00;115764000000,00;132695000000,00;#N/D;129076000000,00;5,50;8,96;49,80;86,56;#N/D;948,91;1140,55;19,82;18,72;958851685823,75;33,60;53,70;7,82;12,52;#N/D;#N/D;#N/D;2,73;#N/D;;;;;;;;;;;;;;;;;;;;
jun-73;0;0;4,09;2135044000,00;15180000305,18;116105000000,00;135125000000,00;#N/D;130049000000,00;5,50;8,96;50,20;85,71;#N/D;979,67;1104,87;19,97;18,86;961863295019,16;33,80;54,00;8,49;13,87;#N/D;#N/D;#N/D;2,43;#N/D;;;;;;;;;;;;;;;;;;;;
jul-73;0;0;4,07;2186056000,00;14529999732,97;118798000000,00;137529000000,00;#N/D;132088000000,00;5,50;8,96;50,40;85,71;#N/D;732,22;1010,51;20,27;19,44;965018314176,25;33,90;54,20;10,43;14,05;#N/D;#N/D;#N/D;2,35;#N/D;;;;;;;;;;;;;;;;;;;;
ago-73;0;0;4,22;2115056000,00;14659999847,41;117315000000,00;136236000000,00;#N/D;130804000000,00;5,50;8,96;50,60;86,56;#N/D;951,36;896,09;20,88;19,44;968316743295,02;34,50;54,20;10,45;14,27;#N/D;#N/D;#N/D;2,46;#N/D;;;;;;;;;;;;;;;;;;;;
sept-73;0;0;4,20;2121056000,00;15010000228,88;119735000000,00;139047000000,00;#N/D;133545000000,00;5,50;8,93;50,70;89,11;#N/D;915,04;987,39;21,18;19,44;971184942528,74;34,60;54,20;10,71;14,04;#N/D;#N/D;#N/D;2,42;#N/D;;;;;;;;;;;;;;;;;;;;
oct-73;0;0;4,18;2023044000,00;14949999809,27;119680000000,00;139606000000,00;#N/D;133348000000,00;5,50;8,93;51,30;88,26;#N/D;1179,99;1265,92;21,63;20,16;974483371647,51;34,90;54,60;9,97;14,34;#N/D;#N/D;#N/D;2,44;#N/D;;;;;;;;;;;;;;;;;;;;
nov-73;0;0;4,41;2147031900,00;15859999656,68;121712000000,00;142926000000,00;#N/D;136331000000,00;5,50;8,93;51,80;87,41;#N/D;1163,82;1182,61;22,09;20,88;977638390804,60;35,20;55,30;10,09;13,36;#N/D;#N/D;#N/D;2,62;#N/D;;;;;;;;;;;;;;;;;;;;
dic-73;0;0;4,59;2284238200,00;16920000076,29;124553000000,00;145471000000,00;#N/D;139936000000,00;5,50;8,93;52,20;88,26;#N/D;963,57;1065,80;22,39;21,74;980650000000,00;35,40;55,80;9,87;13,01;#N/D;#N/D;#N/D;2,70;#N/D;;;;;;;;;;;;;;;;;;;;
