ene-74;0;0;4,78;2306400800,00;16120000839,23;129947000000,00;148343000000,00;#N/D;144760000000,00;5,50;8,93;52,80;89,11;#N/D;1204,83;1007,98;23,75;22,90;983413524904,21;35,70;56,20;9,63;11,96;#N/D;#N/D;#N/D;2,78;#N/D;;;;;;;;;;;;;;;;;;;;
feb-74;0;0;4,63;2290416700,00;16149999618,53;129125000000,00;146778000000,00;#N/D;143915000000,00;5,50;8,93;54,10;89,11;#N/D;1194,17;1100,97;24,66;24,91;985816590038,31;36,20;56,70;8,96;10,79;#N/D;#N/D;#N/D;2,67;#N/D;;;;;;;;;;;;;;;;;;;;
mar-74;0;0;4,39;2043016000,00;16209999084,47;132038000000,00;149844000000,00;#N/D;146963000000,00;5,50;8,95;54,60;89,11;#N/D;1325,03;1295,58;25,26;26,35;988339808429,12;36,60;56,80;9,34;10,98;#N/D;#N/D;#N/D;2,52;#N/D;;;;;;;;;;;;;;;;;;;;
abr-74;0;0;4,25;1764004000,00;19530000686,65;131671000000,00;153853000000,00;#N/D;146923000000,00;6,50;9,95;54,30;90,81;#N/D;1461,67;1473,38;25,72;26,78;990983180076,63;36,80;57,20;10,48;10,00;#N/D;#N/D;#N/D;2,45;#N/D;;;;;;;;;;;;;;;;;;;;
may-74;0;0;4,32;1706991900,00;19430000305,18;131477000000,00;151324000000,00;#N/D;146646000000,00;6,50;9,95;54,10;90,81;#N/D;1444,89;1356,95;26,17;26,78;993746704980,84;37,20;57,50;11,26;8,83;#N/D;#N/D;#N/D;2,53;#N/D;;;;;;;;;;;;;;;;;;;;
jun-74;0;0;4,38;1542849000,00;20100000381,47;133575000000,00;156405000000,00;#N/D;149415000000,00;6,50;9,95;54,50;93,35;#N/D;1349,66;1283,14;26,32;26,78;996149770114,94;37,50;57,80;11,86;9,28;#N/D;#N/D;#N/D;2,56;#N/D;;;;;;;;;;;;;;;;;;;;
jul-74;0;0;4,38;1501832600,00;20360000610,35;132769000000,00;156143000000,00;#N/D;147982000000,00;6,50;9,95;54,70;89,96;#N/D;1295,56;1268,59;26,77;27,07;998913295019,16;37,80;57,90;12,88;9,19;#N/D;#N/D;#N/D;2,59;#N/D;;;;;;;;;;;;;;;;;;;;
ago-74;0;0;4,48;1409880500,00;20649999618,53;131432000000,00;154741000000,00;#N/D;146954000000,00;7,50;10,95;55,20;89,96;#N/D;1306,97;1296,92;27,23;27,50;1001556666666,66;38,30;58,00;11,97;9,48;#N/D;#N/D;#N/D;2,66;#N/D;;;;;;;;;;;;;;;;;;;;
sept-74;0;0;4,46;1415366000,00;20600000381,47;134736000000,00;158704000000,00;#N/D;150109000000,00;7,50;11,19;55,70;89,96;#N/D;1358,59;1372,94;27,53;27,50;1004079885057,47;38,80;58,10;11,31;9,43;#N/D;#N/D;#N/D;2,65;#N/D;;;;;;;;;;;;;;;;;;;;
oct-74;0;0;4,38;1424924900,00;20670000076,29;132229000000,00;158670000000,00;#N/D;147801000000,00;7,50;11,19;57,40;90,81;#N/D;1739,78;1679,00;28,29;27,94;1006843409961,68;39,10;58,50;10,06;9,62;#N/D;#N/D;#N/D;2,58;#N/D;;;;;;;;;;;;;;;;;;;;
nov-74;0;0;4,29;1442256300,00;21850000381,47;133871000000,00;161882000000,00;#N/D;150516000000,00;7,50;11,19;58,00;90,81;#N/D;1544,76;1425,63;28,44;28,08;1009366628352,49;39,40;58,90;9,43;8,89;#N/D;#N/D;#N/D;2,48;#N/D;;;;;;;;;;;;;;;;;;;;
dic-74;0;0;4,08;1487021600,00;22829999923,71;136174000000,00;164114000000,00;#N/D;153498000000,00;7,50;11,19;58,20;85,71;#N/D;1593,39;1510,10;28,44;27,94;1012010000000,00;39,70;59,00;8,43;8,55;#N/D;#N/D;#N/D;2,41;#N/D;;;;;;;;;;;;;;;;;;;;
ene-75;0;0;4,01;1541259900,00;22079999923,71;142356000000,00;166129000000,00;#N/D;159051000000,00;7,50;11,19;58,00;92,50;86,70;1692,84;1542,51;29,35;28,08;1014287088122,60;39,90;59,60;7,19;7,57;#N/D;#N/D;#N/D;2,34;#N/D;;;;;;;;;;;;;;;;;;;;
feb-75;0;0;3,90;1555425500,00;22260000228,88;139847000000,00;164083000000,00;#N/D;156630000000,00;7,50;11,19;58,50;90,81;91,20;1456,16;1606,40;29,20;27,79;1016267164750,95;40,20;59,90;6,20;6,37;#N/D;#N/D;#N/D;2,28;#N/D;;;;;;;;;;;;;;;;;;;;
mar-75;0;0;3,94;1574921900,00;22399999618,53;144348000000,00;168238000000,00;#N/D;161176000000,00;7,50;11,20;58,90;92,50;90,20;1427,12;1470,04;28,89;27,50;1018346245210,72;40,30;60,20;5,46;5,61;#N/D;#N/D;#N/D;2,35;#N/D;;;;;;;;;;;;;;;;;;;;
abr-75;0;0;3,97;1865718200,00;22299999237,06;144015000000,00;169963000000,00;#N/D;160712000000,00;7,50;11,20;59,00;88,26;92,50;1590,82;1690,41;28,74;27,50;1020524329501,91;40,50;60,70;5,52;4,79;#N/D;#N/D;#N/D;2,38;#N/D;;;;;;;;;;;;;;;;;;;;
may-75;0;0;3,94;2016571100,00;22280000686,65;143100000000,00;168964000000,00;#N/D;159728000000,00;7,50;11,20;59,90;88,26;91,30;1528,38;1501,65;28,74;27,22;1022702413793,10;40,70;61,00;5,23;4,94;#N/D;#N/D;#N/D;2,35;#N/D;;;;;;;;;;;;;;;;;;;;
jun-75;0;0;3,94;2130512400,00;23250000000,00;143275000000,00;171308000000,00;#N/D;160672000000,00;7,50;11,20;60,30;86,56;94,60;1417,49;1503,69;28,59;26,93;1024781494252,87;41,00;61,50;5,53;4,76;#N/D;#N/D;#N/D;2,35;#N/D;;;;;;;;;;;;;;;;;;;;
jul-75;0;0;4,31;2427505700,00;22280000686,65;145678000000,00;174468000000,00;#N/D;162657000000,00;7,50;11,20;61,10;88,26;96,60;1258,73;1240,58;28,59;27,07;1027058582375,47;41,50;61,50;6,08;4,60;#N/D;#N/D;#N/D;2,58;#N/D;;;;;;;;;;;;;;;;;;;;
ago-75;0;0;4,36;2535898500,00;22629999160,77;144252000000,00;173051000000,00;#N/D;161716000000,00;6,50;11,20;61,70;88,26;93,90;1157,68;971,49;28,59;27,65;1029137662835,24;41,60;61,40;6,13;3,85;#N/D;#N/D;#N/D;2,58;#N/D;;;;;;;;;;;;;;;;;;;;
sept-75;0;0;4,51;2544852700,00;22780000686,65;147945000000,00;177315000000,00;#N/D;165366000000,00;6,50;10,25;61,90;86,56;99,10;1527,61;1347,63;28,59;27,79;1031315747126,43;41,80;61,70;6,22;3,88;#N/D;#N/D;#N/D;2,66;#N/D;;;;;;;;;;;;;;;;;;;;
oct-75;0;0;4,35;2622136200,00;23379999160,77;147128000000,00;178563000000,00;#N/D;165180000000,00;6,50;10,25;62,60;86,56;100,10;1603,47;1505,63;28,74;28,22;1033592835249,04;42,10;61,90;5,82;4,00;#N/D;#N/D;#N/D;2,56;#N/D;;;;;;;;;;;;;;;;;;;;
nov-75;0;0;4,43;2720223000,00;21350000381,47;149271000000,00;182293000000,00;#N/D;168333000000,00;6,50;10,25;63,20;88,26;100,80;1349,15;1386,21;28,89;28,22;1035572911877,39;42,30;62,10;5,15;4,07;#N/D;#N/D;#N/D;2,63;#N/D;;;;;;;;;;;;;;;;;;;;
dic-75;0;0;4,39;2838602100,00;22680000305,18;151237000000,00;186379000000,00;#N/D;171385000000,00;6,50;10,25;63,40;84,87;101,90;1397,07;1579,86;28,89;28,37;1037850000000,00;42,50;62,20;5,20;4,18;#N/D;#N/D;#N/D;2,62;#N/D;;;;;;;;;;;;;;;;;;;;
ene-76;0;0;4,38;2948734800,00;21790000915,53;159337000000,00;187410000000,00;#N/D;178718000000,00;6,00;9,75;64,30;84,02;105,20;1370,49;1284,15;29,35;28,66;1038771984732,82;42,60;62,80;4,84;3,90;#N/D;#N/D;#N/D;2,59;#N/D;;;;;;;;;;;;;;;;;;;;
feb-76;0;0;4,38;2989730600,00;21700000762,94;155954000000,00;183900000000,00;#N/D;175316000000,00;6,00;9,75;64,80;85,71;106,20;1510,59;1443,38;29,65;28,94;1039610152671,75;42,70;63,10;4,76;3,74;#N/D;#N/D;#N/D;2,56;#N/D;;;;;;;;;;;;;;;;;;;;
mar-76;0;0;4,40;3017764000,00;21420000076,29;160867000000,00;188390000000,00;#N/D;179778000000,00;6,00;9,60;65,40;84,87;109,80;1672,91;1638,63;29,95;28,94;1040574045801,52;42,80;63,30;4,84;3,67;#N/D;#N/D;#N/D;2,54;#N/D;;;;;;;;;;;;;;;;;;;;
abr-76;0;0;4,39;3011299000,00;21979999542,24;160078000000,00;190880000000,00;#N/D;179512000000,00;6,00;9,60;65,90;86,56;120,30;1518,47;1411,31;30,10;29,38;1041496030534,35;43,00;63,70;4,84;3,57;#N/D;#N/D;#N/D;2,54;#N/D;;;;;;;;;;;;;;;;;;;;
may-76;0;0;4,44;3049270900,00;22010000228,88;158696000000,00;188282000000,00;#N/D;177943000000,00;6,00;9,60;66,50;86,56;116,60;1665,73;1478,28;30,25;29,52;1042376106870,22;43,20;63,80;5,27;3,68;#N/D;#N/D;#N/D;2,59;#N/D;;;;;;;;;;;;;;;;;;;;
jun-76;0;0;4,45;3063936300,00;22600000381,47;156583000000,00;188718000000,00;#N/D;176278000000,00;6,50;10,10;67,00;88,26;117,30;1607,39;1698,89;30,41;29,81;1043298091603,05;43,50;63,90;5,48;4,04;#N/D;#N/D;#N/D;2,57;#N/D;;;;;;;;;;;;;;;;;;;;
jul-76;0;0;4,44;3035360700,00;22219999313,35;159605000000,00;193500000000,00;#N/D;179333000000,00;6,50;10,10;67,10;88,26;117,60;1127,69;1261,85;30,56;30,10;1044220076335,87;43,70;63,80;5,30;4,36;#N/D;#N/D;#N/D;2,54;#N/D;;;;;;;;;;;;;;;;;;;;
ago-76;0;0;4,40;2850746900,00;22149999618,53;156627000000,00;192737000000,00;#N/D;176309000000,00;6,50;10,10;67,50;86,56;109,90;1640,01;1385,05;30,86;30,24;1045142061068,70;43,90;64,00;5,30;4,50;#N/D;#N/D;#N/D;2,53;#N/D;;;;;;;;;;;;;;;;;;;;
sept-76;0;0;4,28;2668774800,00;23010000228,88;160102000000,00;197807000000,00;#N/D;180230000000,00;6,50;9,91;67,60;84,87;104,60;1824,37;1791,03;31,01;30,38;1046064045801,52;44,10;64,00;5,25;4,57;#N/D;#N/D;#N/D;2,44;#N/D;;;;;;;;;;;;;;;;;;;;
oct-76;0;0;4,22;1979682700,00;23290000915,53;157845000000,00;199705000000,00;#N/D;178344000000,00;8,50;12,91;68,60;87,41;96,50;1775,46;1638,97;31,01;30,38;1046944122137,40;44,30;64,20;5,01;4,76;#N/D;#N/D;#N/D;2,41;#N/D;;;;;;;;;;;;;;;;;;;;
nov-76;0;0;4,19;2092386500,00;23930000305,18;159246000000,00;202803000000,00;#N/D;180112000000,00;8,50;12,91;69,10;85,71;98,90;2016,13;1771,81;31,01;30,53;1047866106870,22;44,40;64,30;4,95;4,60;#N/D;#N/D;#N/D;2,40;#N/D;;;;;;;;;;;;;;;;;;;;
